Surname,Name,Sex,Age,Rescue Ship,Arrival Pier,Arrival Harbour,Arrival Time
Taylor,Mrs. Elmer Zebley (Juliet Cummins Wright),female,,Carpathia,Pier 54,New York,1912-04-18 21:32:31
Brown,Mrs. Thomas William Solomon (Elizabeth Catherine Ford),female,40.0,Carpathia,Pier 54,New York,1912-04-18 21:31:56
Wilhelms,Mr. Charles,male,31.0,Carpathia,Pier 54,New York,1912-04-18 21:31:25
Turja,Miss. Anna Sofia,female,18.0,Carpathia,Pier 54,New York,1912-04-18 21:34:36
Cardeza,Mr. Thomas Drake Martinez,male,36.0,Carpathia,Pier 54,New York,1912-04-18 21:32:02
Hassab,Mr. Hammad,male,27.0,Carpathia,Pier 54,New York,1912-04-18 21:31:02
Madill,Miss. Georgette Alexandra,female,15.0,Carpathia,Pier 54,New York,1912-04-18 21:32:32
Dick,Mr. Albert Adrian,male,31.0,Carpathia,Pier 54,New York,1912-04-18 21:30:52
Karun,Miss. Manca,female,4.0,Carpathia,Pier 54,New York,1912-04-18 21:31:40
Lam,Mr. Ali,male,,Carpathia,Pier 54,New York,1912-04-18 21:33:54
Mullens,"Miss. Katherine ""Katie""",female,,Carpathia,Pier 54,New York,1912-04-18 21:34:20
Astor,Mrs. John Jacob (Madeleine Talmadge Force),female,18.0,Carpathia,Pier 54,New York,1912-04-18 21:30:49
Silverthorne,Mr. Spencer Victor,male,35.0,Carpathia,Pier 54,New York,1912-04-18 21:34:24
Kelly,"Mrs. Florence ""Fannie""",female,45.0,Carpathia,Pier 54,New York,1912-04-18 21:34:13
Calderhead,Mr. Edward Pennington,male,42.0,Carpathia,Pier 54,New York,1912-04-18 21:33:36
Cleaver,Miss. Alice,female,22.0,Carpathia,Pier 54,New York,1912-04-18 21:34:00
Moubarek,"Master. Halim Gonios (""William George"")",male,,Carpathia,Pier 54,New York,1912-04-18 21:32:02
Mayne,"Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:34:35
Taylor,Mr. Elmer Zebley,male,48.0,Carpathia,Pier 54,New York,1912-04-18 21:33:39
Endres,Miss. Caroline Louise,female,38.0,Carpathia,Pier 54,New York,1912-04-18 21:35:32
Troutt,"Miss. Edwina Celia ""Winnie""",female,27.0,Carpathia,Pier 54,New York,1912-04-18 21:33:46
Harper,"Miss. Annie Jessie ""Nina""",female,6.0,Carpathia,Pier 54,New York,1912-04-18 21:30:32
Chambers,Mr. Norman Campbell,male,27.0,Carpathia,Pier 54,New York,1912-04-18 21:31:55
Renouf,Mrs. Peter Henry (Lillian Jefferys),female,30.0,Carpathia,Pier 54,New York,1912-04-18 21:30:31
Mannion,Miss. Margareth,female,,Carpathia,Pier 54,New York,1912-04-18 21:32:10
Allen,Miss. Elisabeth Walton,female,29.0,Carpathia,Pier 54,New York,1912-04-18 21:34:59
Lesurer,Mr. Gustave J,male,35.0,Carpathia,Pier 54,New York,1912-04-18 21:30:06
Hawksford,Mr. Walter James,male,,Carpathia,Pier 54,New York,1912-04-18 21:33:50
Ryerson,"Miss. Susan Parker ""Suzette""",female,21.0,Carpathia,Pier 54,New York,1912-04-18 21:32:48
Stranden,Mr. Juho,male,31.0,Carpathia,Pier 54,New York,1912-04-18 21:34:36
Sinkkonen,Miss. Anna,female,30.0,Carpathia,Pier 54,New York,1912-04-18 21:31:29
Wells,Miss. Joan,female,4.0,Carpathia,Pier 54,New York,1912-04-18 21:30:57
Moor,Master. Meier,male,6.0,Carpathia,Pier 54,New York,1912-04-18 21:32:59
Herman,Mrs. Samuel (Jane Laver),female,48.0,Carpathia,Pier 54,New York,1912-04-18 21:30:02
Hamalainen,Master. Viljo,male,0.67,Carpathia,Pier 54,New York,1912-04-18 21:33:14
Rothes,the Countess. of (Lucy Noel Martha Dyer-Edwards),female,33.0,Carpathia,Pier 54,New York,1912-04-18 21:32:54
Barah,Mr. Hanna Assi,male,20.0,Carpathia,Pier 54,New York,1912-04-18 21:32:03
Carter,Mrs. William Ernest (Lucile Polk),female,36.0,Carpathia,Pier 54,New York,1912-04-18 21:31:37
Hogeboom,Mrs. John C (Anna Andrews),female,51.0,Carpathia,Pier 54,New York,1912-04-18 21:31:13
Hocking,Mrs. Elizabeth (Eliza Needs),female,54.0,Carpathia,Pier 54,New York,1912-04-18 21:34:09
Emanuel,Miss. Virginia Ethel,female,5.0,Carpathia,Pier 54,New York,1912-04-18 21:31:46
Robert,Mrs. Edward Scott (Elisabeth Walton McMillan),female,43.0,Carpathia,Pier 54,New York,1912-04-18 21:34:16
Ayoub,Miss. Banoura,female,13.0,Carpathia,Pier 54,New York,1912-04-18 21:35:41
Dick,Mrs. Albert Adrian (Vera Gillespie),female,17.0,Carpathia,Pier 54,New York,1912-04-18 21:30:44
Sjoblom,Miss. Anna Sofia,female,18.0,Carpathia,Pier 54,New York,1912-04-18 21:35:36
Dean,Master. Bertram Vere,male,1.0,Carpathia,Pier 54,New York,1912-04-18 21:34:00
Leader,Dr. Alice (Farnham),female,49.0,Carpathia,Pier 54,New York,1912-04-18 21:30:49
Osman,Mrs. Mara,female,31.0,Carpathia,Pier 54,New York,1912-04-18 21:34:31
Collyer,Mrs. Harvey (Charlotte Annie Tate),female,31.0,Carpathia,Pier 54,New York,1912-04-18 21:30:10
Carter,Master. William Thornton II,male,11.0,Carpathia,Pier 54,New York,1912-04-18 21:34:47
Thomas,Master. Assad Alexander,male,0.42,Carpathia,Pier 54,New York,1912-04-18 21:33:12
Hedman,Mr. Oskar Arvid,male,27.0,Carpathia,Pier 54,New York,1912-04-18 21:31:07
Chambers,Mrs. Norman Campbell (Bertha Griggs),female,33.0,Carpathia,Pier 54,New York,1912-04-18 21:33:55
Hays,Mrs. Charles Melville (Clara Jennings Gregg),female,52.0,Carpathia,Pier 54,New York,1912-04-18 21:32:23
Lulic,Mr. Nikola,male,27.0,Carpathia,Pier 54,New York,1912-04-18 21:31:32
Moor,Mrs. (Beila),female,27.0,Carpathia,Pier 54,New York,1912-04-18 21:33:08
Mallet,Master. Andre,male,1.0,Carpathia,Pier 54,New York,1912-04-18 21:34:01
McCormack,Mr. Thomas Joseph,male,,Carpathia,Pier 54,New York,1912-04-18 21:33:06
Stone,Mrs. George Nelson (Martha Evelyn),female,62.0,Carpathia,Pier 54,New York,1912-04-18 21:31:31
Yasbeck,Mrs. Antoni (Selini Alexander),female,15.0,Carpathia,Pier 54,New York,1912-04-18 21:31:47
Richards,Master. George Sibley,male,0.83,Carpathia,Pier 54,New York,1912-04-18 21:30:49
Compton,Miss. Sara Rebecca,female,39.0,Carpathia,Pier 54,New York,1912-04-18 21:33:42
Chip,Mr. Chang,male,32.0,Carpathia,Pier 54,New York,1912-04-18 21:34:41
Marechal,Mr. Pierre,male,,Carpathia,Pier 54,New York,1912-04-18 21:33:56
Serepeca,Miss. Augusta,female,30.0,Carpathia,Pier 54,New York,1912-04-18 21:31:39
Goldenberg,Mrs. Samuel L (Edwiga Grabowska),female,,Carpathia,Pier 54,New York,1912-04-18 21:35:02
Lines,Miss. Mary Conover,female,16.0,Carpathia,Pier 54,New York,1912-04-18 21:30:43
Aks,Mrs. Sam (Leah Rosen),female,18.0,Carpathia,Pier 54,New York,1912-04-18 21:34:27
Wick,Mrs. George Dennick (Mary Hitchcock),female,45.0,Carpathia,Pier 54,New York,1912-04-18 21:34:00
Daly,Mr. Peter Denis ,male,51.0,Carpathia,Pier 54,New York,1912-04-18 21:35:06
Baclini,Mrs. Solomon (Latifa Qurban),female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:34:36
Swift,Mrs. Frederick Joel (Margaret Welles Barron),female,48.0,Carpathia,Pier 54,New York,1912-04-18 21:33:04
Bystrom,Mrs. (Karolina),female,42.0,Carpathia,Pier 54,New York,1912-04-18 21:31:46
Duran y More,Miss. Asuncion,female,27.0,Carpathia,Pier 54,New York,1912-04-18 21:30:14
Johnson,Master. Harold Theodor,male,4.0,Carpathia,Pier 54,New York,1912-04-18 21:32:11
Beckwith,Mrs. Richard Leonard (Sallie Monypeny),female,47.0,Carpathia,Pier 54,New York,1912-04-18 21:31:03
Abelson,Mrs. Samuel (Hannah Wizosky),female,28.0,Carpathia,Pier 54,New York,1912-04-18 21:30:22
Najib,"Miss. Adele Kiamie ""Jane""",female,15.0,Carpathia,Pier 54,New York,1912-04-18 21:32:39
Potter,Mrs. Thomas Jr (Lily Alexenia Wilson),female,56.0,Carpathia,Pier 54,New York,1912-04-18 21:33:37
Shelley,Mrs. William (Imanita Parrish Hall),female,25.0,Carpathia,Pier 54,New York,1912-04-18 21:32:56
Graham,Miss. Margaret Edith,female,19.0,Carpathia,Pier 54,New York,1912-04-18 21:31:56
Behr,Mr. Karl Howell,male,26.0,Carpathia,Pier 54,New York,1912-04-18 21:30:34
